Name,Full Ticker,Ticker,Trading Country ISO Code,Operating Country ISO Code,Industry,Beta (5 Year),Total Debt,Total Equity,Revenue,Enterprise Value (EV)
"Netflix, Inc.",NASDAQGS:NFLX,NFLX,USA,USA,Entertainment,0.8125,18006.6074,15314.6172,28632.9688,305326.625
The Walt Disney Company,NYSE:DIS,DIS,USA,USA,Entertainment,1.1694,58313,102224,67418,321303.0313
Sea Limited,NYSE:SE,SE,USA,SGP,Entertainment,1.3023,4118.1758,7810.5322,8299.626,156933.0313
"NetEase, Inc.",OTCPK:NETT.F,NETT.F,USA,CHN,Entertainment,0.559,3157.394,14956.3018,12869.7119,63678.1445
"NetEase, Inc.",NASDAQGS:NTES,NTES,USA,CHN,Entertainment,0.559,3157.394,14956.3018,12869.7119,63678.1445
Roblox Corporation,NYSE:RBLX,RBLX,USA,USA,Entertainment,,243.867,605.831,1660.421,69324.6172
Universal Music Group N.V.,OTCPK:UMGN.F,UMGN.F,USA,NLD,Entertainment,,4074.9526,1763.5199,9255.2178,55578.8477
Universal Music Group N.V.,OTCPK:UNVG.Y,UNVG.Y,USA,NLD,Entertainment,,4074.9526,1763.5199,9255.2178,55578.8477
"Nintendo Co., Ltd.",OTCPK:NTDO.F,NTDO.F,USA,JPN,Entertainment,0.5876,0,16066.1309,14499.0566,36028.1523
"Nintendo Co., Ltd.",OTCPK:NTDO.Y,NTDO.Y,USA,JPN,Entertainment,0.5876,0,16066.1309,14499.0566,36028.1523
Spotify Technology S.A.,NYSE:SPOT,SPOT,USA,LUX,Entertainment,1.5809,2085.9392,2451.9343,10594.1631,46279.8711
"Activision Blizzard, Inc.",NASDAQGS:ATVI,ATVI,USA,USA,Entertainment,0.5943,3607,16950,9052,40823.2266
Electronic Arts Inc.,NASDAQGS:EA,EA,USA,USA,Entertainment,0.8369,2195,7856,6396,35848.3398
"Roku, Inc.",NASDAQGS:ROKU,ROKU,USA,USA,Entertainment,1.6671,520.325,2683.6311,2549.1411,29937.3262
Bilibili Inc.,NASDAQGS:BILI,BILI,USA,CHN,Entertainment,1.2699,1416.0144,3632.186,2704.8486,23214.5918
